"claim_filed_by","regular_ui","pua_new","pua_reclassified","peuc_claims","week_ending","median"
"ALLEGANY",42,0,0,0,"Jan 6",53
"ANNE ARUNDEL",186,0,0,0,"Jan 6",53
"BALTIMORE",385,0,0,0,"Jan 6",53
"BALTIMORE CITY",332,0,0,0,"Jan 6",53
"CALVERT",33,0,0,0,"Jan 6",53
"CAROLINE",16,0,0,0,"Jan 6",53
"CARROLL",73,0,0,0,"Jan 6",53
"CECIL",41,0,0,0,"Jan 6",53
"CHARLES",78,0,0,0,"Jan 6",53
"DORCHESTER",23,0,0,0,"Jan 6",53
"FREDERICK",105,0,0,0,"Jan 6",53
"GARRETT",31,0,0,0,"Jan 6",53
"HARFORD",114,0,0,0,"Jan 6",53
"HOWARD",83,0,0,0,"Jan 6",53
"KENT",13,0,0,0,"Jan 6",53
"MONTGOMERY",231,0,0,0,"Jan 6",53
"NON-MARYLAND",257,0,0,0,"Jan 6",53
"PRINCE GEORGES",275,0,0,0,"Jan 6",53
"QUEEN ANNES",21,0,0,0,"Jan 6",53
"SOMERSET",9,0,0,0,"Jan 6",53
"ST MARYS",26,0,0,0,"Jan 6",53
"TALBOT",21,0,0,0,"Jan 6",53
"Unknown",40,0,0,0,"Jan 6",53
"WASHINGTON",60,0,0,0,"Jan 6",53
"WICOMICO",46,0,0,0,"Jan 6",53
"WORCESTER",84,0,0,0,"Jan 6",53
"ALLEGANY",42,0,0,0,"Jan 13",59.5
"ANNE ARUNDEL",202,0,0,0,"Jan 13",59.5
"BALTIMORE",446,0,0,0,"Jan 13",59.5
"BALTIMORE CITY",363,0,0,0,"Jan 13",59.5
"CALVERT",26,0,0,0,"Jan 13",59.5
"CAROLINE",27,0,0,0,"Jan 13",59.5
"CARROLL",72,0,0,0,"Jan 13",59.5
"CECIL",29,0,0,0,"Jan 13",59.5
"CHARLES",64,0,0,0,"Jan 13",59.5
"DORCHESTER",17,0,0,0,"Jan 13",59.5
"FREDERICK",95,0,0,0,"Jan 13",59.5
"GARRETT",36,0,0,0,"Jan 13",59.5
"HARFORD",136,0,0,0,"Jan 13",59.5
"HOWARD",95,0,0,0,"Jan 13",59.5
"KENT",11,0,0,0,"Jan 13",59.5
"MONTGOMERY",291,0,0,0,"Jan 13",59.5
"NON-MARYLAND",316,0,0,1,"Jan 13",59.5
"PRINCE GEORGES",335,0,0,0,"Jan 13",59.5
"QUEEN ANNES",18,0,0,0,"Jan 13",59.5
"SOMERSET",19,0,0,0,"Jan 13",59.5
"ST MARYS",26,0,0,0,"Jan 13",59.5
"TALBOT",18,0,0,0,"Jan 13",59.5
"Unknown",27,0,0,0,"Jan 13",59.5
"WASHINGTON",85,0,0,0,"Jan 13",59.5
"WICOMICO",55,0,0,0,"Jan 13",59.5
"WORCESTER",113,0,0,0,"Jan 13",59.5
"ALLEGANY",35,0,0,0,"Jan 20",54
"ANNE ARUNDEL",261,0,0,0,"Jan 20",54
"BALTIMORE",369,0,0,0,"Jan 20",54
"BALTIMORE CITY",299,0,0,0,"Jan 20",54
"CALVERT",31,0,0,0,"Jan 20",54
"CAROLINE",16,0,0,0,"Jan 20",54
"CARROLL",54,0,0,0,"Jan 20",54
"CECIL",54,0,0,0,"Jan 20",54
"CHARLES",50,0,0,0,"Jan 20",54
"DORCHESTER",23,0,0,0,"Jan 20",54
"FREDERICK",69,0,0,0,"Jan 20",54
"GARRETT",22,0,0,0,"Jan 20",54
"HARFORD",117,0,0,0,"Jan 20",54
"HOWARD",81,0,0,0,"Jan 20",54
"KENT",13,0,0,0,"Jan 20",54
"MONTGOMERY",235,0,0,0,"Jan 20",54
"NON-MARYLAND",232,0,0,0,"Jan 20",54
"PRINCE GEORGES",305,0,0,0,"Jan 20",54
"QUEEN ANNES",19,0,0,0,"Jan 20",54
"SOMERSET",20,0,0,0,"Jan 20",54
"ST MARYS",20,0,0,0,"Jan 20",54
"TALBOT",14,0,0,0,"Jan 20",54
"Unknown",28,0,0,0,"Jan 20",54
"WASHINGTON",70,0,0,0,"Jan 20",54
"WICOMICO",59,0,0,0,"Jan 20",54
"WORCESTER",65,0,0,0,"Jan 20",54
"ALLEGANY",31,0,0,0,"Jan 27",44.5
"ANNE ARUNDEL",197,0,0,0,"Jan 27",44.5
"BALTIMORE",449,0,0,0,"Jan 27",44.5
"BALTIMORE CITY",399,0,0,1,"Jan 27",44.5
"CALVERT",29,0,0,0,"Jan 27",44.5
"CAROLINE",10,0,0,0,"Jan 27",44.5
"CARROLL",75,0,0,0,"Jan 27",44.5
"CECIL",31,0,0,0,"Jan 27",44.5
"CHARLES",46,0,0,0,"Jan 27",44.5
"DORCHESTER",17,0,0,0,"Jan 27",44.5
"FREDERICK",92,0,0,0,"Jan 27",44.5
"GARRETT",11,0,0,0,"Jan 27",44.5
"HARFORD",119,0,0,0,"Jan 27",44.5
"HOWARD",95,0,0,0,"Jan 27",44.5
"KENT",8,0,0,0,"Jan 27",44.5
"MONTGOMERY",248,0,0,0,"Jan 27",44.5
"NON-MARYLAND",254,0,0,0,"Jan 27",44.5
"PRINCE GEORGES",331,0,0,0,"Jan 27",44.5
"QUEEN ANNES",12,0,0,0,"Jan 27",44.5
"SOMERSET",9,0,0,0,"Jan 27",44.5
"ST MARYS",10,0,0,0,"Jan 27",44.5
"TALBOT",15,0,0,0,"Jan 27",44.5
"Unknown",31,0,0,0,"Jan 27",44.5
"WASHINGTON",79,0,0,0,"Jan 27",44.5
"WICOMICO",54,0,0,0,"Jan 27",44.5
"WORCESTER",43,0,0,0,"Jan 27",44.5
"ALLEGANY",31,0,0,0,"Feb 3",40.5
"ANNE ARUNDEL",156,0,0,0,"Feb 3",40.5
"BALTIMORE",392,0,0,0,"Feb 3",40.5
"BALTIMORE CITY",337,0,0,1,"Feb 3",40.5
"CALVERT",28,0,0,0,"Feb 3",40.5
"CAROLINE",13,0,0,0,"Feb 3",40.5
"CARROLL",46,0,0,0,"Feb 3",40.5
"CECIL",35,0,0,0,"Feb 3",40.5
"CHARLES",47,0,0,0,"Feb 3",40.5
"DORCHESTER",17,0,0,0,"Feb 3",40.5
"FREDERICK",102,0,0,0,"Feb 3",40.5
"GARRETT",16,0,0,0,"Feb 3",40.5
"HARFORD",104,0,0,0,"Feb 3",40.5
"HOWARD",111,0,0,0,"Feb 3",40.5
"KENT",0,0,0,0,"Feb 3",40.5
"MONTGOMERY",260,0,0,0,"Feb 3",40.5
"NON-MARYLAND",288,0,0,0,"Feb 3",40.5
"PRINCE GEORGES",326,0,0,0,"Feb 3",40.5
"QUEEN ANNES",11,0,0,0,"Feb 3",40.5
"SOMERSET",3,0,0,0,"Feb 3",40.5
"ST MARYS",13,0,0,0,"Feb 3",40.5
"TALBOT",11,0,0,0,"Feb 3",40.5
"Unknown",23,0,0,0,"Feb 3",40.5
"WASHINGTON",116,0,0,0,"Feb 3",40.5
"WICOMICO",42,0,0,0,"Feb 3",40.5
"WORCESTER",39,0,0,0,"Feb 3",40.5
"ALLEGANY",28,0,0,0,"Feb 10",35.5
"ANNE ARUNDEL",188,0,0,0,"Feb 10",35.5
"BALTIMORE",367,0,0,0,"Feb 10",35.5
"BALTIMORE CITY",354,0,0,0,"Feb 10",35.5
"CALVERT",17,0,0,0,"Feb 10",35.5
"CAROLINE",11,0,0,0,"Feb 10",35.5
"CARROLL",55,0,0,0,"Feb 10",35.5
"CECIL",20,0,0,0,"Feb 10",35.5
"CHARLES",46,0,0,0,"Feb 10",35.5
"DORCHESTER",16,0,0,0,"Feb 10",35.5
"FREDERICK",104,0,0,0,"Feb 10",35.5
"GARRETT",11,0,0,0,"Feb 10",35.5
"HARFORD",111,0,0,0,"Feb 10",35.5
"HOWARD",80,0,0,0,"Feb 10",35.5
"KENT",5,0,0,0,"Feb 10",35.5
"MONTGOMERY",260,0,0,0,"Feb 10",35.5
"NON-MARYLAND",324,0,0,0,"Feb 10",35.5
"PRINCE GEORGES",325,0,0,0,"Feb 10",35.5
"QUEEN ANNES",20,0,0,0,"Feb 10",35.5
"SOMERSET",7,0,0,0,"Feb 10",35.5
"ST MARYS",20,0,0,0,"Feb 10",35.5
"TALBOT",14,0,0,0,"Feb 10",35.5
"Unknown",26,0,0,0,"Feb 10",35.5
"WASHINGTON",128,0,0,0,"Feb 10",35.5
"WICOMICO",34,0,0,0,"Feb 10",35.5
"WORCESTER",37,0,0,0,"Feb 10",35.5
"ALLEGANY",27,0,0,0,"Feb 17",33.5
"ANNE ARUNDEL",160,0,0,0,"Feb 17",33.5
