"zip","number_of_claimants","type","decommissioned","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","world_region","country","latitude","longitude","irs_estimated_population"
"7036",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15435",2,"PO BOX",0,"Fairbank",NA,NA,"PA","Fayette County","America/New_York","724, 878",NA,"US",39.94,-79.85,588
"15459",1,"STANDARD",0,"Markleysburg",NA,NA,"PA","Fayette County","America/New_York","227, 240, 301, 304, 582, 681, 724, 814, 878",NA,"US",39.73,-79.45,1190
"15522",1,"STANDARD",0,"Bedford",NA,NA,"PA","Bedford County","America/New_York","227, 240, 301, 582, 814",NA,"US",40.01,-78.5,10170
"15537",1,"STANDARD",0,"Everett",NA,NA,"PA","Bedford County","America/New_York","582, 814",NA,"US",40.01,-78.36,6600
"15554",1,"STANDARD",0,"New Paris",NA,NA,"PA","Bedford County","America/New_York","582, 814",NA,"US",40.1,-78.64,2140
"15801",1,"STANDARD",0,"Du Bois","Dubois",NA,"PA","Clearfield County","America/New_York","582, 814",NA,"US",41.14,-78.73,16150
"17011",1,"STANDARD",0,"Camp Hill","Shiremanstown","Camp Hill Brm","PA","Cumberland County","America/New_York","223, 717",NA,"US",40.24,-76.92,30890
"17015",1,"STANDARD",0,"Carlisle","W Pennsboro, West Pennsboro",NA,"PA","Cumberland County","America/New_York","223, 717",NA,"US",40.15,-77.26,22800
"17032",1,"STANDARD",0,"Halifax",NA,"Carsonville, Enders, Enterline, Fisherville, Inglenook, Mcclellan, Powells Vly, Reed, Waynesville","PA","Dauphin County","America/New_York","223, 717",NA,"US",40.46,-76.93,7340
"17050",2,"STANDARD",0,"Mechanicsburg","Hampden Township, Hampden Twp, Silver Spg Tp, Silver Spring Township","Defense Depot, Goodhope, Hampden Station, Hogestown, Mech, Mechancsbrg, Mechbg, Navy Ships, Navy Sup Dpt, Trindle Sprg, Wertzville","PA","Cumberland County","America/New_York","223, 717",NA,"US",40.24,-77.02,43450
"17055",2,"STANDARD",0,"Mechanicsburg","Bowmansdale","Andersontown, Brandtsville, Defense Depot, Lisburn, Locust Point, Mech, Mechancsbrg, Mechbg, Mount Allen, Navy Ships, Navy Sup Dpt, Shepherdstown, Upper Allen, Williams Grv, Winding Hill","PA","Cumberland County","America/New_York","223, 717",NA,"US",40.21,-77,40650
"17061",1,"STANDARD",0,"Millersburg",NA,"Killinger, Lenkerville, Millersbg, Rife, Upper Paxton","PA","Dauphin County","America/New_York","223, 272, 570, 717",NA,"US",40.54,-76.95,6190
"17222",2,"STANDARD",0,"Fayetteville",NA,NA,"PA","Franklin County","America/New_York","223, 717",NA,"US",39.91,-77.56,10450
"17313",1,"STANDARD",0,"Dallastown","Yoe",NA,"PA","York County","America/New_York","223, 717",NA,"US",39.89,-76.64,9490
"17314",5,"STANDARD",0,"Delta",NA,"Bryansville, Coal Cabin Beach, Slate Hill, West Bangor","PA","York County","America/New_York","223, 410, 443, 667, 717",NA,"US",39.76,-76.33,5520
"17320",1,"STANDARD",0,"Fairfield","Greenstone","Carroll Valley, Charnita","PA","Adams County","America/New_York","223, 227, 240, 301, 717",NA,"US",39.78,-77.36,7730
"17321",1,"STANDARD",0,"Fawn Grove",NA,"Fawn","PA","York County","America/New_York","223, 410, 443, 667, 717",NA,"US",39.75,-76.44,2280
"17322",1,"STANDARD",0,"Felton",NA,"Brogueville, Cross Roads, Lucky","PA","York County","America/New_York","223, 717",NA,"US",39.85,-76.56,5600
"17331",7,"STANDARD",0,"Hanover",NA,"Baresville, Bowman Addition, Brushtown, Edgegrove, Fairview Drive, Gitts Run, Gnatstown, Grangeville, Green Springs, Hershey Heights, Hobart, Jacobs Mills, Moulstown, Park Heights, Park Hills, Parkville, Pennville, Pleasant Hill, Shorbes Hill, York Road","PA","York County","America/New_York","223, 410, 443, 667, 717",NA,"US",39.81,-76.98,52350
"17349",4,"STANDARD",0,"New Freedom",NA,"Tolna","PA","York County","America/New_York","223, 410, 443, 667, 717",NA,"US",39.73,-76.69,8250
"17356",1,"STANDARD",0,"Red Lion",NA,"Freysville, New Bridgeville, Pleasant View, Snyder Corner, Springvale","PA","York County","America/New_York","223, 717",NA,"US",39.89,-76.6,21940
"17360",2,"STANDARD",0,"Seven Valleys",NA,NA,"PA","York County","America/New_York","223, 717",NA,"US",39.85,-76.76,6240
"17361",4,"STANDARD",0,"Shrewsbury",NA,NA,"PA","York County","America/New_York","223, 717",NA,"US",39.77,-76.68,5720
"17362",2,"STANDARD",0,"Spring Grove","Menges Mills","Nashville, Sinsheim, Stoverstown","PA","York County","America/New_York","223, 717",NA,"US",39.88,-76.86,13660
"17363",1,"STANDARD",0,"Stewartstown",NA,"Rinely","PA","York County","America/New_York","223, 410, 443, 667, 717",NA,"US",39.75,-76.59,9310
"17370",1,"STANDARD",0,"York Haven",NA,"Cly","PA","York County","America/New_York","223, 717",NA,"US",40.11,-76.71,6180
"17402",2,"STANDARD",0,"York","East York, Springettsbury Township, Sprngtsbry Tp","Fayfield, Glades, Locust Grove, Longstown, Mount Zion, Pleasureville, Spry, Stonybrook, Yorklyn, Yorkshire","PA","York County","America/New_York","223, 717",NA,"US",39.96,-76.66,32270
"17403",3,"STANDARD",0,"York",NA,"Botts, Leaders Heights, Ore Valley, Windsor Park, Wyndham Hills","PA","York County","America/New_York","223, 717",NA,"US",39.92,-76.71,34400
"17404",2,"STANDARD",0,"York","West York","Shiloh","PA","York County","America/New_York","223, 717",NA,"US",40,-76.77,35580
